3208192,4701680,3204592,2243568,1998848,561136,424448,621056,1675264,1157616,450560,1294832,518656,295408,152064,82928,271360,1830384,942080,837120,252928,1005568,1727472,1800192,2059776,1479168,1703920,1670656,1021952,1265664,1759728,1213440,1124848,461824,2498560,2374656,2308592,1517040,2519040,2874368,2086400,1489392,1633264,650240,1282544,637440,-1085952,1749488,3388400,2914816,3339264,1610240,952320,1733616,1709568,1164272,1523696,1875456,3352048,3537920,3412464,3129344,2015744,1999856,1239536,324592,2155504,2531312,2909696,2107376
1612800,3031040,2300416,2311680,1993200,2329584,1206784,1410560,3760640,1865216,1324528,271856,-915456,935424,807424,477680,302064,-1058320,-167440,-1246208,-1690624,-1249808,-506880,-673280,-636944,-1430528,-2794496,-860672,-919568,597488,1508848,2223088,1775104,2288624,2940400,2902528,1942000,1034240,1857024,1988080,1191936,1384432,1224688,1598464,-335376,-822288,-640016,-525312,-650240,41456,-829440,133632,321520,135680,-157200,206320,169456,-493568,-13312,63984,534512,297968,-741888,-1164304,1015792,1606640,595456,1521152,714240,1645568
1343472,2519024,3032560,2854896,3673600,2450432,1830400,2278400,2816512,2514928,963584,1200112,755712,-1528832,-1764352,-365072,518640,121840,1388544,729584,343536,463872,846832,495088,2305008,1483760,1703920,1974272,2214384,-135184,1428464,2934272,3354608,2085376,2658288,2605552,2884608,1794032,1245696,584192,217072,-64512,-225808,174064,315376,927728,-257040,-848400,806400,1330160,876528,807424,975872,1406464,48128,-520208,463872,695280,-26624,-463888,187904,423424,1114112,1195008,224752,288256,2099696,2425344,4120048,3255296
2984960,983536,1200624,2941424,2548224,993264,-252928,682992,1019392,1309696,-1551376,-1331216,-1455632,843760,1415152,1983472,1356784,693760,-719872,520688,-1476608,-1020432,-1723904,-1630736,-1471488,-992272,-393728,616944,1316336,1780736,930304,114688,-231952,1191408,1067520,845808,399872,411632,175088,564736,645104,1069040,1048064,1741824,1295856,-293376,880112,152576,-914944,-412688,32768,68080,-1469440,-560128,554992,1496064,1206768,1022448,1325040,1304048,1615344,670704,322032,699392,-34304,181744,1842176,2653168,1297392,1081840
1044480,1290224,1316864,2049008,2398704,1439232,990208,212464,428016,26112,199664,1793008,1014768,-401424,406512,1255920,578560,-832512,-719360,-689168,-564240,-41984,-1336320,-780288,5616,575984,83952,7168,-351760,320000,803840,268288,-1571856,-1151504,-2465808,-1886736,-1312272,-1212928,-780304,-1385488,-1624592,-1138704,-212992,-56848,-225808,-1935888,-1728528,-1478672,-844288,-1803280,-1636368,-574992,-1823760,-818704,-251408,1529344,3160560,3442672,3332608,2316784,3313664,3536368,2836992,2950144,1883632,1419760,1765888,2425856,1857536,1318400
1252864,273904,-217616,174576,-1009680,-1117184,-112640,-282112,148480,610304,1175040,386544,-55824,409584,982016,1077248,1495040,1282032,-512,1085440,1384960,1614336,1331696,626688,110064,-453136,-309776,596976,831472,449520,228864,-137728,1356272,2076656,1846272,1963504,1727472,2727920,2341888,1983472,593904,1168368,1056256,1597952,1944576,1894912,1447408,881152,993280,1192944,-64000,-330768,141296,120832,-909840,-750080,-481792,-140816,-986128,-2488848,-2060288,-2078736,-802816,-812560,-507920,-1364992,-1346064,-1330688,-120848,145408
-1097216,18416,970240,627200,-430080,-708624,-683024,-613392,524288,1007104,724464,1145856,824832,564720,-3088,-762880,-812544,-2419728,-1410064,-2122752,-2925568,-3402768,-2013712,34816,-499216,-978960,-29696,-756736,-1410064,103424,2657264,1700336,2702848,1765376,1951744,1933808,1921008,2330608,2863104,3077632,1272304,12272,1011184,1034736,244720,-157184,871920,318464,408048,286720,1188848,1336320,100864,442368,854528,59392,905728,1492976,1256448,271856,-1232912,-2068992,-4295696,-4781584,-4485136,-1779200,-1907728,-907264,-1047056,-1408512
-1289744,-1774080,-2185728,-2403328,-1454592,355312,594928,1313280,2081264,422896,1928704,1427456,934384,752640,526832,1050624,1098240,1651712,2794496,561664,-1110544,-1605632,-1555984,-872448,-1849872,1305584,904704,743424,1070080,2065904,3365872,2565104,3697136,3414000,2094592,1817088,-177680,-442896,-612864,-616976,389616,-168448,409600,757248,1602032,1287152,76784,-387088,54784,-999952,-298512,2183664,1076208,1335296,1264112,1139696,753136,-404496,-296448,-227840,-971776,-853008,-299520,-770576,-1106944,-1264128,-1522688,-1313808,-3086864,-3529744
-2632208,-1970688,-1468416,-1190928,402432,1619456,875520,436720,-208912,-1323008,-739840,908800,1641984,-405008,-698896,332288,737792,-419840,-332800,1518080,1926640,2030592,1426944,-688128,366592,948720,1210864,1356272,900592,866800,306176,966128,93184,397312,232432,1206768,858096,603136,107504,127488,79872,1757680,1914368,828400,1386992,1057264,-1103360,-830976,-964096,-711168,-1108992,-386576,-602112,563712,211968,457728,686576,-1351184,313856,1286640,1578992,87040,1299968,1182720,1464832,297984,-237072,1189888,1242608,2161664
1663984,2940928,2599920,2669040,1245184,-877072,-290816,-29696,314880,1394672,-601600,-1148416,-170512,-791568,-909824,-1883648,-881152,840688,-706576,-432144,-189440,445424,2751472,3688432,3570160,3146224,1433088,-925200,-687104,489456,1743856,843264,2120176,593392,697856,-165392,-641536,172544,183296,869872,-75280,-1075200,-1155072,-535568,-442880,-872960,142336,433664,-838144,-1041424,-482304,-681472,969728,75264,-118784,-1489920,-2222608,-2049024,-1582080,-1580544,-1766928,-2426368,-1074192,-1895440,-2299408,-803840,570368,1390080,2474480,1651712
